業種,サブカテゴリー,ショック,売上減少率(%),原価率上昇(%pt),影響期間(月),倒産確率上昇(%pt),備考
建設業,,リーマンショック,-18,+1,18,+3.5,信用収縮・公共工事削減
建設業,,東日本大震災,-10,+2,6,+2.0,一時的減少後に復興需要
建設業,,コロナショック,-8,+1,12,+1.5,工事遅延・資材価格上昇
建設業,,ウクライナ戦争,-3,+6,24,+0.8,資材価格高騰・エネルギーコスト上昇

製造業,,リーマンショック,-25,+2,18,+4.5,輸出急減・設備投資凍結
製造業,,東日本大震災,-30,+5,6,+3.0,サプライチェーン寸断・電力不足
製造業,,コロナショック,-12,+3,15,+2.0,需要減・リモート対応コスト
製造業,,ウクライナ戦争,-5,+4,24,+1.0,エネルギー・原材料価格高騰

卸・小売業,,リーマンショック,-15,+3,18,+3.0,消費低迷・在庫調整
卸・小売業,,東日本大震災,-20,+4,6,+2.5,物流寸断・買い控え
卸・小売業,,コロナショック,-18,+4,18,+3.5,外出自粛・店舗営業制限
卸・小売業,,ウクライナ戦争,-8,+5,24,+1.5,物価高・消費者心理悪化

運輸・物流業,,リーマンショック,-20,+2,18,+2.5,貨物量激減
運輸・物流業,,東日本大震災,-25,+6,6,+3.0,物流網寸断・燃料確保困難
運輸・物流業,,コロナショック,-15,+2,12,+2.0,人流減・貨物減（EC増で一部プラス）
運輸・物流業,,ウクライナ戦争,-10,+8,24,+1.8,燃料費高騰（+50%）

サービス・その他,IT・システム開発,リーマンショック,-12,+1,18,+1.5,IT投資削減・プロジェクト延期
サービス・その他,IT・システム開発,東日本大震災,-5,+1,6,+0.5,一時的影響のみ
サービス・その他,IT・システム開発,コロナショック,+5,-1,12,+0.3,リモート需要増・DX加速
サービス・その他,IT・システム開発,ウクライナ戦争,-2,+1,24,+0.5,IT投資慎重化

サービス・その他,医療・介護,リーマンショック,-3,+1,18,+0.5,受診控え軽微
サービス・その他,医療・介護,東日本大震災,-5,+2,6,+0.8,一時的な受診困難
サービス・その他,医療・介護,コロナショック,-3,+2,24,+1.0,受診控え・感染対策コスト
サービス・その他,医療・介護,ウクライナ戦争,-2,+3,24,+0.3,医療材料価格上昇

サービス・その他,広告・マーケティング,リーマンショック,-35,+3,18,+5.0,広告予算大幅削減
サービス・その他,広告・マーケティング,東日本大震災,-20,+2,6,+2.5,広告自粛・CM差し替え
サービス・その他,広告・マーケティング,コロナショック,-30,+5,18,+4.5,イベント中止・広告削減
サービス・その他,広告・マーケティング,ウクライナ戦争,-10,+3,24,+1.5,広告予算削減

サービス・その他,その他,リーマンショック,-18,+2,18,+2.5,消費低迷（飲食・小売サービス）
サービス・その他,その他,東日本大震災,-15,+3,6,+2.0,自粛ムード・外出控え
サービス・その他,その他,コロナショック,-60,+8,24,+8.0,営業制限・外出自粛（飲食壊滅）
サービス・その他,その他,ウクライナ戦争,-12,+4,24,+2.0,物価高・消費マインド低下
